1,2,3
0.12,0.146,0.119
0.118,0.107,0.115
0.125,0.124,0.128
0.165,0.158,0.175
0.071,0.082,0.081
0.088,0.107,0.072
0.098,0.094,0.077
0.116,0.095,0.095
