1,2,3
0.208,0.209,0.236
0.637,0.664,0.639
1.99,1.966,1.97
2.685,2.693,2.606
0.107,0.106,0.106
0.283,0.274,0.28
1.062,1.013,1.027
1.576,1.92,1.606
