1,2,3
0.268,0.234,0.23
0.772,0.641,0.573
2.401,2.137,2.014
3.249,3.249,3.307
0.163,0.155,0.145
0.358,0.358,0.296
1.235,1.193,0.975
2.465,2.304,2.103
