1,2,3
0.806,0.877,0.781
2.103,1.929,1.928
2.219,2.25,2.158
3.063,2.916,2.845
0.304,0.287,0.314
0.936,0.918,0.884
1.875,1.815,1.861
2.266,2.179,2.061
