1,2,3
0.252,0.232,0.27
0.635,0.576,0.532
1.792,1.883,1.629
2.537,2.692,0.248
0.116,0.076,0.094
0.145,0.137,0.132
0.58,0.556,0.519
1.711,1.58,1.584
