1,2,3
0.121,0.121,0.133
0.138,0.136,0.133
0.181,0.186,0.179
0.334,0.33,0.391
0.121,0.079,0.079
0.104,0.081,0.098
0.111,0.112,0.133
0.222,0.235,0.241
