1,2,3
0.147,0.123,0.14
0.11,0.104,0.11
0.199,0.142,0.17
0.296,0.287,0.29
0.101,0.125,0.11
0.071,0.144,0.11
0.134,0.185,0.16
0.21,0.349,0.28
