1,2,3
0.185,0.179,0.168
0.539,0.706,0.539
1.806,2.448,1.751
3.254,3.43,3.254
0.185,0.179,0.168
0.553,0.543,0.544
1.514,1.506,1.509
2.786,2.771,2.742
