1,2,3
0.377,0.33,0.338
0.858,0.769,0.776
2.599,2.207,2.231
3.35,3.35,3.388
0.169,0.158,0.147
0.371,0.317,0.27
1.291,1.176,0.777
2.725,2.646,1.543
