1,2,3
0.144,0.143,0.146
0.255,0.262,0.259
0.95,0.954,0.96
1.836,1.789,1.822
0.091,0.124,0.097
0.162,0.168,0.157
0.708,0.724,0.707
1.171,1.223,1.21
