1,2,3
0.123,0.137,0.131
0.116,0.126,0.131
0.123,0.278,0.174
0.203,0.202,0.221
0.074,0.08,0.077
0.066,0.069,0.069
0.073,0.092,0.083
0.091,0.123,0.411
