"pure NP";"NP-RNA";"S1";"RBD";"S1/S2";"NP #1";"NP #2"
"pure NP";NA;2.22044604925031e-15;1.31450406115619e-13;2.32791119714193e-10;9.81215109163713e-12;1.25677246387568e-13;5.55888668429816e-12
"NP-RNA";2.22044604925031e-15;NA;8.48601189318288e-11;1.0250460480421e-09;2.4265645048871e-09;3.62798679987009e-11;9.907319409308e-11
"S1";1.31450406115619e-13;8.48601189318288e-11;NA;4.44089209850063e-16;2.22044604925031e-16;0;0
"RBD";2.32791119714193e-10;1.0250460480421e-09;4.44089209850063e-16;NA;1.40273170856631e-09;7.105427357601e-14;0
"S1/S2";9.81215109163713e-12;2.4265645048871e-09;2.22044604925031e-16;1.40273170856631e-09;NA;0;1.51256784874931e-12
"NP #1";1.25677246387568e-13;3.62798679987009e-11;0;7.105427357601e-14;0;NA;0
"NP #2";5.55888668429816e-12;9.907319409308e-11;0;0;1.51256784874931e-12;0;NA
