"pure NP";"NP-RNA";"S1";"RBD";"S1/S2";"NP #1";"NP #2"
"pure NP";NA;4.76127246740177e-06;0.00281786889918356;0.0023957734341602;0.0431565869650272;0.00191775654897763;0.00332826869720271
"NP-RNA";4.76127246740177e-06;NA;0.00342587787717741;0.00256497915902831;0.0326620598127207;0.00217158400970696;0.00254353778828431
"S1";0.00281786889918356;0.00342587787717741;NA;1.00697228333502e-10;0.0128992057689703;1.98913349156449e-05;4.01900734914307e-14
"RBD";0.0023957734341602;0.00256497915902831;1.00697228333502e-10;NA;0.0053462526265271;4.49980457739585e-06;4.52838211373319e-10
"S1/S2";0.0431565869650272;0.0326620598127207;0.0128992057689703;0.0053462526265271;NA;5.82009053995414e-05;0.00555337275916989
"NP #1";0.00191775654897763;0.00217158400970696;1.98913349156449e-05;4.49980457739585e-06;5.82009053995414e-05;NA;8.44302498359539e-06
"NP #2";0.00332826869720271;0.00254353778828431;4.01900734914307e-14;4.52838211373319e-10;0.00555337275916989;8.44302498359539e-06;NA
