1,2,3
0.384,0.375,0.363
1.324,1.239,1.265
2.345,2.22,2.293
3.43,3.254,3.292
0.185,0.179,0.168
0.553,0.543,0.544
1.714,1.706,1.709
2.686,2.671,2.642
