1,2,3
0.176,0.123,0.171
0.14,0.125,0.141
0.26,0.164,0.209
0.363,0.238,0.244
0.078,0.109,0.093
0.077,0.097,0.083
0.091,0.132,0.116
0.113,0.149,0.455
