1,2,3
0.863,0.871,0.908
1.749,1.877,2.061
2.333,2.276,2.169
2.984,2.954,3.089
0.282,0.311,0.327
0.652,0.692,0.636
1.103,1.277,1.103
1.844,2.068,1.728
