1,2,3
0.139,0.125,0.153
0.126,0.113,0.135
0.182,0.127,0.166
0.34,0.253,0.345
0.108,0.113,0.129
0.099,0.115,0.124
0.114,0.118,0.128
0.28,0.226,0.227
