1,2,3
0.173,0.186,0.171
0.32,0.329,0.323
1.172,1.14,1.142
2.987,3.125,3.25
0.146,0.122,0.143
0.239,0.209,0.189
0.581,0.553,0.563
2.041,1.659,1.78
