1,2,3
0.164,0.161,0.163
0.309,0.289,0.305
0.994,0.95,0.899
2.43,2.368,2.36
0.098,0.096,0.271
0.162,0.143,0.289
0.443,0.457,0.448
1.53,1.517,1.507
