1,2,3
0.135,0.135,0.132
0.238,0.225,0.215
1.18,1.156,1.125
2.759,2.768,2.759
0.072,0.072,0.077
0.096,0.113,0.111
0.705,0.712,0.735
2.354,2.334,2.334
