1,2,3
0.117,0.119,0.114
0.095,0.161,0.11
0.088,0.082,0.087
0.304,0.295,0.305
0.088,0.065,0.072
0.061,0.065,0.064
0.067,0.069,0.077
0.205,0.269,0.276
